,date,currency,exchange
0,2015-01-01,USD,1.0
1,2015-01-01,CAD,1.1583
2,2015-01-01,AUD,1.2214
3,2015-01-01,EUR,0.8237
4,2015-01-01,GBP,0.6415
5,2015-01-02,USD,1.0
6,2015-01-02,CAD,1.1682
7,2015-01-02,AUD,1.2323
8,2015-01-02,EUR,0.8304
9,2015-01-02,GBP,0.6477
10,2015-01-03,USD,1.0
11,2015-01-03,CAD,1.1682
12,2015-01-03,AUD,1.2323
13,2015-01-03,EUR,0.8304
14,2015-01-03,GBP,0.6477
15,2015-01-04,USD,1.0
16,2015-01-04,CAD,1.1682
17,2015-01-04,AUD,1.2323
18,2015-01-04,EUR,0.8304
19,2015-01-04,GBP,0.6477
20,2015-01-05,USD,1.0
21,2015-01-05,CAD,1.1784
22,2015-01-05,AUD,1.2384
23,2015-01-05,EUR,0.8393
24,2015-01-05,GBP,0.6569
25,2015-01-06,USD,1.0
26,2015-01-06,CAD,1.1763
27,2015-01-06,AUD,1.2288
28,2015-01-06,EUR,0.8393
29,2015-01-06,GBP,0.6582
30,2015-01-07,USD,1.0
31,2015-01-07,CAD,1.183
32,2015-01-07,AUD,1.2391
33,2015-01-07,EUR,0.8452
34,2015-01-07,GBP,0.6612
35,2015-01-08,USD,1.0
36,2015-01-08,CAD,1.1816
37,2015-01-08,AUD,1.2337
38,2015-01-08,EUR,0.8498
39,2015-01-08,GBP,0.6637
40,2015-01-09,USD,1.0
41,2015-01-09,CAD,1.182
42,2015-01-09,AUD,1.228
43,2015-01-09,EUR,0.8465
44,2015-01-09,GBP,0.6602
45,2015-01-10,USD,1.0
46,2015-01-10,CAD,1.182
47,2015-01-10,AUD,1.228
48,2015-01-10,EUR,0.8465
49,2015-01-10,GBP,0.6602
50,2015-01-11,USD,1.0
51,2015-01-11,CAD,1.182
52,2015-01-11,AUD,1.228
53,2015-01-11,EUR,0.8465
54,2015-01-11,GBP,0.6602
55,2015-01-12,USD,1.0
56,2015-01-12,CAD,1.1897
57,2015-01-12,AUD,1.2282
58,2015-01-12,EUR,0.8472
59,2015-01-12,GBP,0.66
60,2015-01-13,USD,1.0
61,2015-01-13,CAD,1.1966
62,2015-01-13,AUD,1.2257
63,2015-01-13,EUR,0.8488
64,2015-01-13,GBP,0.6592
65,2015-01-14,USD,1.0
66,2015-01-14,CAD,1.1965
67,2015-01-14,AUD,1.2291
68,2015-01-14,EUR,0.8493
69,2015-01-14,GBP,0.6584
70,2015-01-15,USD,1.0
71,2015-01-15,CAD,1.1834
72,2015-01-15,AUD,1.208
73,2015-01-15,EUR,0.8541
74,2015-01-15,GBP,0.6553
75,2015-01-16,USD,1.0
76,2015-01-16,CAD,1.2035
77,2015-01-16,AUD,1.2179
78,2015-01-16,EUR,0.863
79,2015-01-16,GBP,0.659
80,2015-01-17,USD,1.0
81,2015-01-17,CAD,1.2035
82,2015-01-17,AUD,1.2179
83,2015-01-17,EUR,0.863
84,2015-01-17,GBP,0.659
85,2015-01-18,USD,1.0
86,2015-01-18,CAD,1.2035
87,2015-01-18,AUD,1.2179
88,2015-01-18,EUR,0.863
89,2015-01-18,GBP,0.659
90,2015-01-19,USD,1.0
91,2015-01-19,CAD,1.1983
92,2015-01-19,AUD,1.2179
93,2015-01-19,EUR,0.8617
94,2015-01-19,GBP,0.6604
95,2015-01-20,USD,1.0
96,2015-01-20,CAD,1.2013
97,2015-01-20,AUD,1.2197
98,2015-01-20,EUR,0.8636
99,2015-01-20,GBP,0.6596
100,2015-01-21,USD,1.0
101,2015-01-21,CAD,1.2075
102,2015-01-21,AUD,1.2174
103,2015-01-21,EUR,0.8626
104,2015-01-21,GBP,0.6617
105,2015-01-22,USD,1.0
106,2015-01-22,CAD,1.2354
107,2015-01-22,AUD,1.2308
108,2015-01-22,EUR,0.8607
109,2015-01-22,GBP,0.6579
110,2015-01-23,USD,1.0
111,2015-01-23,CAD,1.2446
112,2015-01-23,AUD,1.2653
113,2015-01-23,EUR,0.893
114,2015-01-23,GBP,0.6674
115,2015-01-24,USD,1.0
116,2015-01-24,CAD,1.2446
117,2015-01-24,AUD,1.2653
118,2015-01-24,EUR,0.893
119,2015-01-24,GBP,0.6674
120,2015-01-25,USD,1.0
121,2015-01-25,CAD,1.2446
122,2015-01-25,AUD,1.2653
123,2015-01-25,EUR,0.893
124,2015-01-25,GBP,0.6674
125,2015-01-26,USD,1.0
126,2015-01-26,CAD,1.2459
127,2015-01-26,AUD,1.2653
128,2015-01-26,EUR,0.8894
129,2015-01-26,GBP,0.6661
130,2015-01-27,USD,1.0
131,2015-01-27,CAD,1.2458
132,2015-01-27,AUD,1.2589
133,2015-01-27,EUR,0.8845
134,2015-01-27,GBP,0.6609
135,2015-01-28,USD,1.0
136,2015-01-28,CAD,1.2421
137,2015-01-28,AUD,1.2548
138,2015-01-28,EUR,0.8815
139,2015-01-28,GBP,0.6581
140,2015-01-29,USD,1.0
141,2015-01-29,CAD,1.2531
142,2015-01-29,AUD,1.2846
143,2015-01-29,EUR,0.8838
144,2015-01-29,GBP,0.6608
145,2015-01-30,USD,1.0
146,2015-01-30,CAD,1.267
147,2015-01-30,AUD,1.2857
148,2015-01-30,EUR,0.8846
149,2015-01-30,GBP,0.6644
150,2015-01-31,USD,1.0
151,2015-01-31,CAD,1.267
152,2015-01-31,AUD,1.2857
153,2015-01-31,EUR,0.8846
154,2015-01-31,GBP,0.6644
155,2015-02-01,USD,1.0
156,2015-02-01,CAD,1.267
157,2015-02-01,AUD,1.2857
158,2015-02-01,EUR,0.8846
159,2015-02-01,GBP,0.6644
160,2015-02-02,USD,1.0
161,2015-02-02,CAD,1.2672
162,2015-02-02,AUD,1.2841
163,2015-02-02,EUR,0.8842
164,2015-02-02,GBP,0.6654
165,2015-02-03,USD,1.0
166,2015-02-03,CAD,1.2584
167,2015-02-03,AUD,1.3009
168,2015-02-03,EUR,0.879
169,2015-02-03,GBP,0.6628
170,2015-02-04,USD,1.0
171,2015-02-04,CAD,1.2452
172,2015-02-04,AUD,1.2862
173,2015-02-04,EUR,0.8737
174,2015-02-04,GBP,0.6566
175,2015-02-05,USD,1.0
176,2015-02-05,CAD,1.2524
177,2015-02-05,AUD,1.281
178,2015-02-05,EUR,0.8764
179,2015-02-05,GBP,0.6557
180,2015-02-06,USD,1.0
181,2015-02-06,CAD,1.2445
182,2015-02-06,AUD,1.273
183,2015-02-06,EUR,0.8736
184,2015-02-06,GBP,0.6528
185,2015-02-07,USD,1.0
186,2015-02-07,CAD,1.2445
187,2015-02-07,AUD,1.273
188,2015-02-07,EUR,0.8736
189,2015-02-07,GBP,0.6528
190,2015-02-08,USD,1.0
191,2015-02-08,CAD,1.2445
192,2015-02-08,AUD,1.273
193,2015-02-08,EUR,0.8736
194,2015-02-08,GBP,0.6528
195,2015-02-09,USD,1.0
196,2015-02-09,CAD,1.25
197,2015-02-09,AUD,1.2798
198,2015-02-09,EUR,0.8869
199,2015-02-09,GBP,0.6576
200,2015-02-10,USD,1.0
201,2015-02-10,CAD,1.2471
202,2015-02-10,AUD,1.2855
203,2015-02-10,EUR,0.8852
204,2015-02-10,GBP,0.6568
205,2015-02-11,USD,1.0
206,2015-02-11,CAD,1.2611
207,2015-02-11,AUD,1.291
208,2015-02-11,EUR,0.8839
209,2015-02-11,GBP,0.6537
210,2015-02-12,USD,1.0
211,2015-02-12,CAD,1.256
212,2015-02-12,AUD,1.3031
213,2015-02-12,EUR,0.8828
214,2015-02-12,GBP,0.6511
215,2015-02-13,USD,1.0
216,2015-02-13,CAD,1.2508
217,2015-02-13,AUD,1.2907
218,2015-02-13,EUR,0.8787
219,2015-02-13,GBP,0.6503
220,2015-02-14,USD,1.0
221,2015-02-14,CAD,1.2508
222,2015-02-14,AUD,1.2907
223,2015-02-14,EUR,0.8787
224,2015-02-14,GBP,0.6503
225,2015-02-15,USD,1.0
226,2015-02-15,CAD,1.2508
227,2015-02-15,AUD,1.2907
228,2015-02-15,EUR,0.8787
229,2015-02-15,GBP,0.6503
230,2015-02-16,USD,1.0
231,2015-02-16,CAD,1.2453
232,2015-02-16,AUD,1.2859
233,2015-02-16,EUR,0.8766
234,2015-02-16,GBP,0.6505
235,2015-02-17,USD,1.0
236,2015-02-17,CAD,1.2374
237,2015-02-17,AUD,1.2784
238,2015-02-17,EUR,0.876
239,2015-02-17,GBP,0.6512
240,2015-02-18,USD,1.0
241,2015-02-18,CAD,1.245
242,2015-02-18,AUD,1.2837
243,2015-02-18,EUR,0.8794
